Year,Real GDP - Growth ,Real Private Consumption - Growth,Real Government - Growth,Real Fixed Investment - Growth,Real Exports - Growth,Real Imports - Growth,Real Per Capita GDP - Growth,GDP Deflator,Industrial Production - Growth,Real Retail Sales - Growth,Nominal Retail Sales - Growth,CPI Inflation,WPI Inflation,Merchandise Exports - Growth,Merchandise Imports - Growth,Trade Balance,Fiscal Balance,Current Account Balance,Short-Term Interest Rate,Long-Term Interest Rate,Policy Interest Rate,Exchange Rate Per US$ - Period End,Exchange Rate Per US$ - Period Average,Exchange Rate per Euro - Period End,Population - Level,Population - Growth,Unemployment Rate
1990,3,2.5,3.2,4.6,4.3,5,2.4,2.6,0.8,,4.1,,,21.1,21.7,-13.3,-25.4,-10.4,10.5,9.9,9.3,0.78,0.83,1.1,56.9,0.6,8.3
1991,1,0.7,3.5,-0.6,5.9,2.6,0.5,2.6,-1.3,-0.9,2.3,3.2,,0.4,-1.5,-9.1,-31,-6.4,9.9,9,9.3,0.79,0.86,1.1,57.2,0.7,8.4
1992,1.5,1,3.2,-1.6,5.8,1.7,1,2.1,-2.8,-0.9,1.4,2.4,,9.1,3.2,2.9,-51.8,4.3,10.6,8.6,9.1,0.84,0.81,1,57.5,0.7,9.1
1993,-0.6,0.1,3.5,-5.5,0.6,-3.2,-1,1.6,-4.7,-1.1,1,2.1,,-12.3,-15.1,8.7,-72.3,9.8,8.1,6.8,6.3,0.9,0.86,1,57.7,0.7,10.1
1994,2.3,1.6,0.3,1.6,8.1,9.1,1.9,0.9,2.7,-1,0.7,1.7,,12.7,14.3,6.8,-63.7,7.4,6.3,7.2,5,0.82,0.85,1,58,0.7,11
1995,2.2,1.9,0.1,1.4,8.8,7.6,1.8,1.1,2.5,-0.4,1.4,1.8,,20.5,19,11.3,-62.8,10.8,6.6,7.5,4.6,0.75,0.76,1,58.2,0.5,10.5
1996,1.4,1.8,2.3,0.7,4,2.3,1,1.3,-1.6,-0.2,1.8,2,,1.4,0,15.2,-49.1,20,4.9,6.3,3.2,0.8,0.78,1,58.4,0.3,10.5
1997,2.3,0.6,1,0.8,13,8,2,0.9,3,2.4,3.7,1.2,,2.8,-2.5,29.3,-47.1,37.2,4.2,5.6,3.3,0.91,0.89,1,58.7,0.2,10.7
1998,3.6,4,-0.6,6.4,8.6,11.9,3.2,0.9,2.4,3.9,4.6,0.7,,5.7,7.2,27.1,-32.7,37.3,3.8,4.7,3,0.86,0.9,1,58.9,0,10.3
1999,3.3,3.5,1.5,7.7,4.8,6.6,2.9,0.2,0.3,4.4,4.9,0.5,,-0.1,1.3,23.1,-22.2,51.1,3,4.6,3,1,0.94,1,59.1,-0.1,10
2000,4,3.8,1.9,6.9,13.1,16,3.6,1.5,3,5.7,7.4,1.7,4.4,-1.3,6.6,0.9,-19.6,16.5,4.4,5.4,4.8,1.07,1.09,1,59.4,-0.1,8.6
2001,2,2.5,1.1,2.3,2.9,2.3,1.4,2,-0.2,6.8,8.5,1.6,1.4,-0.8,-2.1,4.8,-22.2,21.2,4.3,5,3.3,1.13,1.12,1,59.7,-0.1,7.8
